date,domestic,foreign
2013-01-01,211341,10994
2013-02-01,217389,16052
2013-03-01,303066,18397
2013-04-01,238592,19278
2013-05-01,227814,15420
2013-06-01,163258,12256
2013-07-01,241144,14499
2013-08-01,362430,12541
2013-09-01,239869,8590
2013-10-01,247272,15953
2013-11-01,255825,19064
2013-12-01,254908,20183
2014-01-01,228666,10961
2014-02-01,221238,13459
2014-03-01,321199,10671
2014-04-01,211316,12459
2014-05-01,217709,8982
2014-06-01,179706,9367
2014-07-01,218260,11498
2014-08-01,327805,10511
2014-09-01,219073,14205
2014-10-01,207789,14006
2014-11-01,243063,16707
2014-12-01,237722,16292
2015-01-01,274081,17870
2015-02-01,266668,18518
2015-03-01,336127,21401
2015-04-01,261137,25926
2015-05-01,269384,23093
2015-06-01,214083,16549
2015-07-01,275391,21297
2015-08-01,376741,18514
2015-09-01,262042,15199
2015-10-01,247095,27092
2015-11-01,269723,28621
2015-12-01,270270,27358
2016-01-01,221999,31352
2016-02-01,246249,29226
2016-03-01,330851,22594
2016-04-01,182106,18651
2016-05-01,172768,6187
2016-06-01,166684,11361
2016-07-01,268964,17553
2016-08-01,360393,21325
2016-09-01,272323,37978
2016-10-01,282068,36984
2016-11-01,279830,35011
2016-12-01,294423,44279
2017-01-01,218860,49047
2017-02-01,209082,48993
2017-03-01,322671,38569
2017-04-01,250598,37334
2017-05-01,248533,36547
2017-06-01,198077,33949
2017-07-01,266530,33161
2017-08-01,344866,31388
2017-09-01,236545,32263
2017-10-01,229937,50305
2017-11-01,244198,46892
2017-12-01,224839,52651
2018-01-01,177984,39045
2018-02-01,200135,53495
